"date","open","high","low","close","volume","oi"
11/01/1985,115.48,116.78,115.48,116.28,900900,0
11/04/1985,116.28,117.07,115.82,116.04,753400,0
11/05/1985,116.04,116.57,115.88,116.44,876800,0
11/06/1985,116.44,117.62,116.44,117.38,935000,0
11/07/1985,117.38,117.96,117.38,117.62,886400,0
